uuid,source,orig_id,GID_0,COUNTRY,CC_1,ENGTYPE_1,GID_1,HASC_1,ISO_1,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,CC_2,ENGTYPE_2,GID_2,HASC_2,NAME_2,NL_NAME_2,TYPE_2,VARNAME_2,CC_3,ENGTYPE_3,GID_3,HASC_3,NAME_3,NL_NAME_3,TYPE_3,VARNAME_3,CC_4,ENGTYPE_4,GID_4,NAME_4,TYPE_4,VARNAME_4,CC_5,ENGTYPE_5,GID_5,NAME_5,TYPE_5
00000043-0dac-4f33-8983-6ad42164f8da,Mapillary,510636610118964,SWE,Sweden,,County,SWE.15_1,SE.ST,,Stockholm,,Län,Stockholms län|Estocolmo|Stoccol,,Municipality,SWE.15.18_1,SE.ST.ST,Stockholm,,Kommuner,,,,,,,,,,,,,,,,,,,,
000004bd-5497-403a-b4d9-c99e53a73452,Mapillary,284345186750935,JPN,Japan,,Prefecture,JPN.8_1,JP.FS,JP-07,Fukushima,福島県,Ken,Hukusima,,City,JPN.8.3_1,JP.FS.AZ,Aizuwakamatsu,会津若松市,Shi,,,,,,,,,,,,,,,,,,,,
000004d3-480d-4e16-bc5a-cdcdb6ae23b9,Mapillary,484779149450294,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45.0,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.6_1,Fleury-les-Aubrais,Canton,,,Commune,FRA.4.6.2.6.2_1,Fleury-les-Aubrais,Chef-lieu canton
000006ef-1c9e-411e-98d1-c10b5cfbe535,Mapillary,228525199034651,DEU,Germany,14.0,State,DEU.14_1,DE.SN,DE-SN,Sachsen,,Freistaat,Saxony,14612.0,District,DEU.14.3_1,DE.SN.DE,Dresden,,Kreisfreie Stadt,,146120000.0,Municipality,DEU.14.3.1_1,,Dresden,,Einheitsgemeinde,,146120000000.0,Town,DEU.14.3.1.1_1,Dresden,Stadt,,,,,,
00000802-1691-436f-a5c4-7aaa78a10c7e,KartaView,1212390509,JPN,Japan,,Prefecture,JPN.35_1,JP.ST,JP-11,Saitama,埼玉県,Ken,,,City,JPN.35.37_1,JP.ST.MT,Misato City,美里町,Shi,,,,,,,,,,,,,,,,,,,,
00000abb-222f-4b73-95a9-c0ac2323c52b,Mapillary,513799200047052,BOL,Bolivia,,Department,BOL.4_1,BO.LP,BO-L,La Paz,,Departamento,,,Province,BOL.4.17_2,,Murillo,,Provincia,,,Distrito,BOL.4.17.4_2,,Nuestra Señora de La Paz,,District,,,,,,,,,,,,
00000d9b-dd31-4652-9ce9-a90b4af45f5e,Mapillary,4662192483807719,CRI,Costa Rica,1.0,Province,CRI.7_1,CR.SJ,,San José,,Provincia,,1.0,Canton,CRI.7.15_1,CR.SJ.SJ,San José,,Cantón,,1.0,District,CRI.7.15.2_1,,El Carmen,,Distrito,,,,,,,,,,,,
00000df7-94d3-497f-af1d-37ef4f6645db,KartaView,600250418,BRA,Brazil,,State,BRA.25_1,BR.SP,,São Paulo,,Estado,,3550308.0,Municipality,BRA.25.565_2,,São Paulo,,Município,,,,,,,,,,,,,,,,,,,,
0000116b-c3b8-4bfc-957e-3569b2227bbc,Mapillary,251543493041513,TUR,Turkey,,Province,TUR.40_1,TR.IB,TR-34,Istanbul,,Il,İstanbul|Constantinople|Estambul,,District,TUR.40.32_1,TR.IB.SI,Şişli,,District,,,,,,,,,,,,,,,,,,,,
000011d0-6370-4bcc-8b12-1adda4927875,Mapillary,466469321100092,BRA,Brazil,,State,BRA.24_1,BR.SC,BR-SC,Santa Catarina,,Estado,Santa Catharina,4202404.0,Municipality,BRA.24.39_2,,Blumenau,,Município,,,,,,,,,,,,,,,,,,,,
