,Filename,Overview,Notes,Field,Format,Explanation
1,climate.csv,Contains the Koppen climate zone associated with each image's location.,"The calculation is as accurate as the location of the image given by the source, which also relies on the accuracy of the capturing devices. The accuracy could also be affected by the accuracy of the Koppen climate zone classification API from https://github.com/sco-tt/Climate-Zone-API.",uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,koppen_geiger_zone,string,A zone code to identify the Koppen climate zone
,,,,zone_description,string,Short description of the climate zone
2,contextual.csv,Contains the eight contextual attributes inferred for each image.,Please refer to Table 3 in the paper for information on accuracy.,uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,platform,string,"Indicates the type of platform/road the image was taken from (e.g. driving surface, walking surface, etc.)"
,,,,weather,string,Indicates the weather condition in the image
,,,,view_direction,string,"Indicates the viewing direction of the image (e.g. front/sideways), not applicable to panoramic images (pano_status==True)"
,,,,lighting_condition,string,Indicates the lighting condition in the image (e.g. day/night/dawn or dusk)
,,,,glare,string,Indicates the presence of glare in the image
,,,,quality,string,Indicates the level of quality of the image as observed by the labeller (good/slightly poor/very poor)
,,,,reflection,string,Indicates the presence of windshield reflection in the image
,,,,pano_status,bool,Indicates whether the image is panoramic
3,ephem.csv,Contains the temporal information of each image calculated using the python package 'PyEphem' with regards to the time of day.,"The accuracy of the calculation is as accurate as the timestamp of the image given by the source, which also relies on the accuracy of the capturing devices. The accuracy could also be affected by the accuracy of PyEphem.",uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,timezone,string,Timezone of the location where the image was captured
,,,,utc_offset_s,float,UTC offset in seconds at the location where the image was captured
,,,,calculated_day_night,string,"Indicates whether the image was taken in day time or night time, calculated using PyEphem. For the polar regions, 'polar day' or 'polar night' might apply depending on the season."
,,,,hrs_aft_sunrise,float,The number of hours after sunrise when the image was captured: negative values indicate the number of hours before sunrise
,,,,hrs_aft_sunset,float,The number of hours after sunset when the image was captured: negative values indicate the number of hours before sunset
4,gadm.csv,"Contains the administrative area associated with each image, at all available levels.","The calculation is as accurate as the location of the image given by the source, which also relies on the accuracy of the capturing devices. The accuracy could also be affected by the accuracy of the GADM database.",uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,GID_0,string,"Unique ID at level 0 (country), using ISO 3166-1 alpha-3 country code when available"
,,,,COUNTRY,string,Country Name in English
,,,,CC_1,string,Uniqe ID of the level 1 state/province/equivalent within the country
,,,,ENGTYPE_1,string,"Administrative type in English (following commonly used translations), at level 1"
,,,,GID_1,string,Unique ID at level 1 (state/province/equivalent)
,,,,HASC_1,string,HASC (a unique ID from Statoids) at level 1
,,,,ISO_1,string,ISO 3166-2 code of the level 1 state/province/equivalent
,,,,NAME_1,string,"Official name in latin script, at level 1"
,,,,NL_NAME_1,string,"Non-Latin name. Official name in a non-latin script (e.g. Arabic, Chinese, Russian, Korean), at level 1"
,,,,TYPE_1,string,"Administrative type in local language, at level 1"
,,,,VARNAME_1,string,"Variant name. Alternate names in usage for the place, separated by pipes |, at level 1"
,,,,CC_2,string,Uniqe ID of the level 2 county/district/equivalent within the country
,,,,ENGTYPE_2,string,"Administrative type in English (following commonly used translations), at level 2"
,,,,GID_2,string,Unique ID at level 2 (county/district/equivalent)
,,,,HASC_2,string,HASC (a unique ID from Statoids) at level 2
,,,,NAME_2,string,"Official name in latin script, at level 2"
,,,,NL_NAME_2,string,"Non-Latin name. Official name in a non-latin script (e.g. Arabic, Chinese, Russian, Korean), at level 2"
,,,,TYPE_2,string,"Administrative type in local language, at level 2"
,,,,VARNAME_2,string,"Variant name. Alternate names in usage for the place, separated by pipes |, at level 2"
,,,,CC_3,string,Uniqe ID of the level 3 commune/municipality/equivalent within the country
,,,,ENGTYPE_3,string,"Administrative type in English (following commonly used translations), at level 3"
,,,,GID_3,string,Unique ID at level 3 (commune/municipality/equivalent)
,,,,HASC_3,string,HASC (a unique ID from Statoids) at level 3
,,,,NAME_3,string,"Official name in latin script, at level 3"
,,,,NL_NAME_3,string,"Non-Latin name. Official name in a non-latin script (e.g. Arabic, Chinese, Russian, Korean), at level 3"
,,,,TYPE_3,string,"Administrative type in local language, at level 3"
,,,,VARNAME_3,string,"Variant name. Alternate names in usage for the place, separated by pipes |, at level 3"
,,,,CC_4,string,Uniqe ID of the level 4 adminstrative areas within the country
,,,,ENGTYPE_4,string,"Administrative type in English (following commonly used translations), at level 4"
,,,,GID_4,string,Unique ID at level 4
,,,,NAME_4,string,"Official name in latin script, at level 4"
,,,,TYPE_4,string,"Administrative type in local language, at level 4"
,,,,VARNAME_4,string,"Variant name. Alternate names in usage for the place, separated by pipes |, at level 4"
,,,,CC_5,string,Uniqe ID of the level 5 adminstrative areas within the country
,,,,ENGTYPE_5,string,"Administrative type in English (following commonly used translations), at level 5"
,,,,GID_5,string,Unique ID at level 5
,,,,NAME_5,string,"Official name in latin script, at level 5"
,,,,TYPE_5,string,"Administrative type in local language, at level 5"
5,ghsl.csv,"Contains the degree of urbanisation associated with the location of the image, calculated using the Global Human Settlement Layer (GHSL).","The calculation is as accurate as the location of the image given by the source, which also relies on the accuracy of the capturing devices. The accuracy could also be affected by the accuracy of the GHSL dataset.",uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,urban_code,int,"A two-digit code that identifies the GHSL settlement typology: 30 - urban centre, 23 - dense urban cluster, 22 - semi-dense urban cluster, 21 - suburban or peri-urban, 13 - rural cluster, 12 - low density rural, 11 - very low density rural, 10 - water"
,,,,urban_term,string,The GHSL settlement typology term associated with the code
6,h3.csv,"Contains the ID of the h3-indexed hexagon associated with each image, at all available resolution levels from level 0 to 15.","The calculation is as accurate as the location of the image given by the source, which also relies on the accuracy of the capturing devices.",uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,h3_0,string,"Unique index of the hexagonal cell containing the location of the image, at level 0 (average edge length = 1281.256011 km)"
,,,,h3_1,string,"Unique index of the hexagonal cell containing the location of the image, at level 1 (average edge length = 483.0568391 km)"
,,,,h3_2,string,"Unique index of the hexagonal cell containing the location of the image, at level 2 (average edge length = 182.5129565 km)"
,,,,h3_3,string,"Unique index of the hexagonal cell containing the location of the image, at level 3 (average edge length = 68.97922179 km)"
,,,,h3_4,string,"Unique index of the hexagonal cell containing the location of the image, at level 4 (average edge length = 26.07175968 km)"
,,,,h3_5,string,"Unique index of the hexagonal cell containing the location of the image, at level 5 (average edge length = 9.854090990 km)"
,,,,h3_6,string,"Unique index of the hexagonal cell containing the location of the image, at level 6 (average edge length = 3.724532667 km)"
